Nom;Sigle;Thématique;Code postal;Commune;Voie;Numéro de voie;Complément d'adresse;Président;Description;Site web;Réseaux sociaux
Association du Département Informatique d'Evry-Val-d'Essonne;Association Info Evry;Sciences-bio-informatique;91037.0;Evry;Boulevard de France;23.0;Bâtiment I.B.G.B.I;Guiillaume COQUARD;Accueillir et aider les étudiants en informatique dans le cadre de leurs étude à l’université d’Evry et organiser des évènements dans le domaine de l’informatique.;https://asso.info-evry.fr/;"Instagram : instagram.com/adieve.ueve
Facebook: facebook.com/adieve.ueve
Twitter: twitter.com/adieve_ueve"
"Anciens et amis du Master 2 Fusions &
Acquisitions";AMFA;Communication et réseaux;75008.0;Paris;Rue de Copenhague;8.0;;Salomé BENHINI;"Promouvoir et  représenter la formation du Master auprès du milieu professionnel.

Elle s’est également donnée comme objectif d’animer la vie étudiante du Master, et de développer une cohésion durable entre les étudiants. À cet effet, elle organise chaque année divers événements : rencontres avec les anciens étudiants du Master et avec des étudiants issus d’autres formations, rencontres sportives, cérémonie de remise des diplômes…";http://www.m2fusac.fr/association/presentation-de-lassociation/;
Association Sénégalaise des Etudiants et Diplômés d’Evry;ASEED;Solidarité et citoyenneté;91025.0;Evry;Rue Jules Vallès;8.0;;Pape Daouda WADE;Mener des activités culturelles visant à faire connaître les facettes de la culture sénégalaise;En cours;https://www.facebook.com/Association-des-%C3%89tudiants-S%C3%A9n%C3%A9galais-dEvry-110027656570858
Association ESTHESIE;ESTHESIE;Cullture;92100.0;Boulogne-Billancourt;Rue de Silly;68.0;;Nicolas GARCIA;Réunir différents artistes autour de projets éclectiques dans une dynamique de soutien et d’entraide. Ces projets peuvent être : la production audiovisuelle, l’écriture littéraire, la production musicale, la peinture, la sculpture..;www.esthesie.fr;www.facebook.com/esthesie
Evry Organisation Robotics Student;EvORobS;Sciences-bio-informatique;91020.0;Evry;Rue du Pelvoux;40.0;;Chériff Issa Tiékoura SAWADOGO;Promouvoir  la Robotique / Recherche, conception et création des robots;/;/
Les cocottes Minutes;;Solidarité et citoyenneté;91000.0;Evry-Courcouronnes;Boulevard François Mitterand;23.0;Président;Clément DEMOUGIN;"Promouvoir l’écologie à l’université, et plus largement au sein de la ville.

L’association œuvre pour la sensibilisation aux enjeux environnementaux d’une part, et à l’amélioration de l’empreinte environnementale de l’université d’autre part dans un contexte de dérèglement climatique. Dans ce but, elle organise des activités (ateliers, projections de films, conférences, sorties nature…) sur la thématique de l’environnement et du contexte écologique. Elle est aussi amenée à dialoguer avec les administrations et à réfléchir sur les moyens à mettre en place pour réduire l’impact des activités universitaires sur l’environnement.";Non;"https://www.facebook.com/Les-Cocottes-Minutes-104497084298314/


https://www.instagram.com/lescocottes.evry"
Rêvons Réalizons;;Solidarité et citoyenneté;75003.0;Paris;Rue des Tounelles;50.0;MIE - Bastille;Insaf MOHAMED RIZAN;"Parvenir aux besoins des personnes en difficulte par le biais d'actions.
L’association repose sur 3 piliers : sante et solidarite, écologie, humanitaire";https://revonsrealizons.wixsite.com/rrealizons;"Instagram : Rêvons Réalizons
Facebook : Rêvons Réalizons
Twitter : @RevonsR"
Bureau des étudiants Scence et Génie des matériaux;BDE SGM;Animation Campus;;;;;;Päul PATAULT;Réaliser des activités ou des objets pour les étudiants du DUT Science et Génie des Matériaux de l'Université d'Évry;Non;//
Réseau des Etudiants Publicistes;REP;Animation Campus;91000.0;Evry-Courcouronnes;Boulevard François Mitterand;23.0;;Dogan IYIGUYEN;"Rassembler tous les étudiants des Masters publicistes de l'Université Paris-Saclay, Évry, pour la promotion du Droit public, l'entraide dans la vie étudiante et professionnelle, actuelle et à venir.

Le REP vise à être le cœur à partir duquel sera créé et perpétué, les relations entre les étudiants et les diplômés des Masters publicistes.

Le REP vise à favoriser la cohésion et l’intégration de tous ses membres dans la vie étudiante, et dans le réseau professionnel des diplômés des Masters publicistes.

Le REP vise à partager et protéger le Droit public auprès de tous les étudiants de l’Université Paris-Saclay, Évry, et des professionnels du Droit.";Non;https://www.facebook.com/association.rep/
Association des Internationnaux d'Evry;ASSOCIE;International;91000.0;Evry;Boulevard François Mitterand;23.0;;Serge ADJE;Accueillir, orienter et accompagner les étudiants internationaux dans leurs démarches universitaires et administratives, leur intégration, et dans leur épanouissement intellectuel et culturel;Non;//
Organisme de Création Aérospatiale de la Ville d'Evry;OCTAVE;Sciences-bio-informatique;91080.0;Courcouronnes;Rue du Pelvoux;40.0;Bât UFR ST;Tristan LOISON;"o Participer à des concours nationaux/internationaux de réalisation de fusées expérimentales / CanSat / Drones
o Participer aux projets PERSEUS de la direction des lanceurs du CNES
o Promouvoir l’industrie du spatiale et de l’aéronautique au sein de l’université d’Evry Val d’Essonne
o Proposer des sujets d’étude R&D dans le cadre de projets étudiant
o Proposer aux étudiants de mettre en application les notions vues en cours";Non;https://www.facebook.com/OctaveAsso/
IGEM Evry-Genopole;IGEM Evry-Genopole;Sciences-bio-informatique;91030.0;Evry;Rue Henri Desbruères;5.0;ISSB Genopole Campus 1 bât 6;Maëva CHERRIERE;iGEM, international Genetically Engineered Machine, est une compétition internationale qui a été créée par le prestigieux MIT (Massachussets Institute of Technology) pour promouvoir une nouvelle discipline en pleine essor, la biologie de synthèse. Elle se déroule chaque année depuis 2004 à Boston aux États-Unis. Chaque équipe iGEM développe un projet ambitieux lui permettant de gagner plusieurs prix récompensant chaque aspect développé dans le projet ainsi qu’une médaille d’or couronnant l’ensemble du projet. C’est un projet qui se déroule sur un an et qui se termine en octobre lors d’un grand jamboree à Boston entre toutes les équipes du monde (376 équipes de 48 pays en 2019);http://www.igem-evry.org;"Facebook : iGEM Evry: https://www.facebook.com/iGEM.Evry

Instagram: igem_evry https://www.instagram.com/igem_evry/?hl=fr

LinkedIn: iGEM Genopole Evry Paris-Saclay  https://www.linkedin.com/in/igem-genopole-evry-paris-saclay-6a5a46141/

Twitter: iGEM_Evry https://twitter.com/iGEM_Evry"
Les Dragons d'Ouroboros;;Animation campus et Solidarité et citoyenneté;91000.0;Evry-Courcouronnes;Rue Charlie Chaplin;1.0;;9 co-présidents : Mirabela Noroc, Elsa Thery, Esteban Berrier, Katia Ressurreicao Do Vale, Guillaume Brant, Clément Demongin, Tyffanie Notahina Miha, Aurore Gavenda, Tom Larvor;Aider les étudiants dans le besoin ainsi qu'aborder, dans le but de sensibiliser les étudiants, de nombreuses thématiques du développement durable, telles que l’écologie – avec de la vente en vrac et la mise à disposition de produits issus de l’agriculture biologique, ou encore l’engagement citoyen, par le biais du bénévolat. Autre objet de cette association : l’animation au campus de L’Université d’Évry via l’organisation de discosoupes.;Non;Non
Manga Anime Jeux;MAJ;Animation campus;91000.0;Evry-Courcouronnes;Boulevard François Mitterand;23.0;;Manon PORTHAULT;"Promouvoir la culture geek et ses dérivés.
- Proposer des évènements ludiques aux étudiants afin de se divertir.
- Permettre aux étudiants de faire des rencontres autour de passion commune.
- Mettre à disposition des étudiants des consoles, mangas, DVD et jeux de
société.";Non;"Facebook : www.facebook.com/MAJevry
Instagram : @maj.evry
Discord : https://discord.gg/xhj7bK9"
Révolte-toi Evry;;Droit et Art Oratoire;91000.0;Evry-Courcouronnes;Boulevard François Mitterand;23.0;;Valentin GERIN;"Former à la prise de parole en public et à
l’art oratoire. Nous organisons des permanences hebdomadaires visant
à progresser sur tous les points importants de l’éloquence mais aussi
différents événements permettant aux adhérents de participer et de
progresser au sein de l’Université comme ailleurs.";Non;"Facebook: Révolte-toi Évry, Instagram:
@revoltetoi.evry, Twitter: @revoltetoievry"
