Filiere;Nombre candidatures
Administration économique et sociale;2114.0
Informatique;1725.0
Langues étrangres appliquées;1361.0
Histoire;549.0
Musicologie;338.0
Sciences de la vie;1722.0
Sociologie;785.0
Mathématiques -  DOUBLE LICENCE MATHEMATIQUES-ECONOMIE;509.0
Arts du spectacle;484.0
Histoire - DOUBLE LICENCE HISTOIRE ET SOCIOLOGIE;426.0
Sciences de la vie - DOUBLE LICENCE SCIENCES DE LA VIE - INFORMATIQUE;329.0
Sciences et Techniques des Activités Physiques et Sportives;2499.0
Economie et gestion;2483.0
Droit;2442.0
Sciences pour l'ingénieur;1184.0
Animation et gestion des activités physiques, sportives ou culturelles;1160.0
Droit - DOUBLE LICENCE DROIT ET ECONOMIE;958.0
Physique, chimie;658.0
Mathématiques;608.0
travail social - en apprentissage;317.0
