Annee_de_linscription;GENRE;Cursus LMD;Regime d'inscription;Domaine de formation;Type de bac obtenu;Nombre d'étudiants;Nombre de nouveaux bacheliers
2020/2021;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac général;319.0;102.0
2020/2021;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac techno;40.0;4.0
2020/2021;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;17.0;
2020/2021;Femme;cursus L;initiale;Arts, Lettres et Langues;Equivalence;2.0;1.0
2020/2021;Femme;cursus L;initiale;Droit, Economie, Gestion;Bac général;1096.0;414.0
2020/2021;Femme;cursus L;initiale;Droit, Economie, Gestion;Bac techno;329.0;133.0
2020/2021;Femme;cursus L;initiale;Droit, Economie, Gestion;Bac pro;75.0;13.0
2020/2021;Femme;cursus L;initiale;Droit, Economie, Gestion;Equivalence;5.0;
2020/2021;Femme;cursus L;initiale;Sciences Humaines et Sociales;Bac pro;67.0;14.0
2020/2021;Femme;cursus L;initiale;Sciences Humaines et Sociales;Bac étranger;12.0;2.0
2020/2021;Femme;cursus L;initiale;Multi-domaine;Bac général;23.0;12.0
2020/2021;Femme;cursus L;initiale;Hors domaine;Bac général;17.0;7.0
2020/2021;Femme;cursus L;initiale;Hors domaine;Bac techno;25.0;21.0
2020/2021;Femme;cursus L;initiale;Hors domaine;Bac pro;37.0;34.0
2020/2021;Femme;cursus L;initiale;Hors domaine;Bac étranger;4.0;
2020/2021;Femme;cursus L;apprentis;Droit, Economie, Gestion;Bac général;294.0;36.0
2020/2021;Femme;cursus L;apprentis;Droit, Economie, Gestion;Equivalence;3.0;
2020/2021;Femme;cursus L;apprentis;Sciences Humaines et Sociales;Bac techno;14.0;
2020/2021;Femme;cursus L;apprentis;Sciences, Technologies, Santé;Equivalence;1.0;
2020/2021;Femme;cursus L;continue;Sciences Humaines et Sociales;Bac pro;1.0;
2020/2021;Femme;cursus L;continue;Sciences, Technologies, Santé;Bac pro;1.0;
2020/2021;Femme;cursus L;continue;Hors domaine;Equivalence;1.0;
2020/2021;Femme;cursus M;initiale;Hors domaine;Bac techno;17.0;
2020/2021;Femme;cursus M;initiale;Hors domaine;Bac étranger;3.0;
2020/2021;Femme;cursus M;initiale;Hors domaine;Equivalence;4.0;
2020/2021;Femme;cursus M;apprentis;Arts, Lettres et Langues;Bac général;15.0;
2020/2021;Femme;cursus M;apprentis;Arts, Lettres et Langues;Bac techno;3.0;
2020/2021;Femme;cursus M;apprentis;Arts, Lettres et Langues;Bac pro;1.0;
2020/2021;Femme;cursus M;apprentis;Droit, Economie, Gestion;Bac pro;3.0;
2020/2021;Femme;cursus M;apprentis;Droit, Economie, Gestion;Equivalence;1.0;
2020/2021;Femme;cursus M;apprentis;Sciences Humaines et Sociales;Bac étranger;5.0;
2020/2021;Femme;cursus M;continue;Droit, Economie, Gestion;Bac pro;3.0;
2020/2021;Femme;cursus D;initiale;Domaine inconnu;Bac général;49.0;
2020/2021;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac techno;36.0;9.0
2020/2021;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;9.0;
2020/2021;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac général;1455.0;455.0
2020/2021;Homme;cursus L;initiale;Hors domaine;Bac pro;47.0;42.0
2020/2021;Homme;cursus L;initiale;Hors domaine;Bac étranger;1.0;
2020/2021;Homme;cursus L;initiale;Hors domaine;Sans bac;1.0;1.0
2020/2021;Homme;cursus L;apprentis;Droit, Economie, Gestion;Bac pro;27.0;1.0
2020/2021;Homme;cursus L;apprentis;Droit, Economie, Gestion;Bac étranger;6.0;
2020/2021;Homme;cursus L;apprentis;Droit, Economie, Gestion;Equivalence;2.0;
2020/2021;Homme;cursus L;apprentis;Sciences Humaines et Sociales;Bac pro;2.0;
2020/2021;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac techno;74.0;6.0
2020/2021;Homme;cursus L;continue;Arts, Lettres et Langues;Bac techno;1.0;
2020/2021;Homme;cursus L;continue;Droit, Economie, Gestion;Bac général;8.0;
2020/2021;Homme;cursus L;continue;Droit, Economie, Gestion;Equivalence;2.0;
2020/2021;Homme;cursus L;continue;Sciences Humaines et Sociales;Bac général;14.0;1.0
2020/2021;Homme;cursus L;continue;Sciences, Technologies, Santé;Bac général;24.0;
2020/2021;Homme;cursus L;continue;Sciences, Technologies, Santé;Bac pro;7.0;
2020/2021;Homme;cursus M;initiale;Droit, Economie, Gestion;Bac pro;1.0;
2020/2021;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac techno;22.0;
2020/2021;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac étranger;32.0;
2020/2021;Homme;cursus M;initiale;Sciences, Technologies, Santé;Bac général;266.0;
2020/2021;Homme;cursus M;initiale;Sciences, Technologies, Santé;Bac techno;62.0;
2020/2021;Homme;cursus M;initiale;Hors domaine;Bac général;13.0;
2020/2021;Homme;cursus M;apprentis;Droit, Economie, Gestion;Bac techno;23.0;
2020/2021;Homme;cursus M;apprentis;Droit, Economie, Gestion;Bac étranger;12.0;
2020/2021;Homme;cursus M;apprentis;Sciences Humaines et Sociales;Bac général;2.0;
2020/2021;Homme;cursus M;apprentis;Sciences Humaines et Sociales;Bac pro;2.0;
2020/2021;Homme;cursus M;apprentis;Sciences, Technologies, Santé;Bac techno;32.0;
2020/2021;Homme;cursus M;apprentis;Sciences, Technologies, Santé;Bac étranger;27.0;
2020/2021;Homme;cursus M;continue;Droit, Economie, Gestion;Bac techno;2.0;
2020/2021;Homme;cursus D;initiale;Domaine inconnu;Bac général;40.0;
2020/2021;Homme;cursus D;initiale;Domaine inconnu;Equivalence;19.0;
2021/2022;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac pro;134.0;33.0
2021/2022;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac étranger;297.0;53.0
2021/2022;Femme;cursus L;initiale;Arts, Lettres et Langues;Sans bac;1.0;1.0
2021/2022;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac général;208.0;66.0
2021/2022;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac étranger;8.0;1.0
2021/2022;Femme;cursus L;initiale;Hors domaine;Bac étranger;3.0;
2021/2022;Femme;cursus L;initiale;;Bac général;83.0;10.0
2021/2022;Femme;cursus L;initiale;;Bac techno;44.0;16.0
2021/2022;Femme;cursus L;apprentis;Arts, Lettres et Langues;Bac techno;16.0;
2021/2022;Femme;cursus L;apprentis;;Bac techno;142.0;
2021/2022;Femme;cursus L;continue;Arts, Lettres et Langues;Bac étranger;1.0;
2021/2022;Femme;cursus L;continue;;Bac général;11.0;
2021/2022;Femme;cursus L;continue;;Bac techno;7.0;
2021/2022;Femme;cursus L;continue;;Bac pro;10.0;
2021/2022;Femme;cursus M;initiale;Sciences Humaines et Sociales;Bac étranger;21.0;
2021/2022;Femme;cursus M;initiale;Sciences Humaines et Sociales;Equivalence;2.0;
2021/2022;Femme;cursus M;initiale;Multi-domaine;Bac général;614.0;
2021/2022;Femme;cursus M;initiale;Multi-domaine;Bac étranger;226.0;
2021/2022;Femme;cursus M;initiale;;Bac général;22.0;
2021/2022;Femme;cursus M;initiale;;Bac techno;5.0;
2021/2022;Femme;cursus M;apprentis;Multi-domaine;Bac techno;44.0;
2021/2022;Femme;cursus M;continue;Sciences, Technologies, Santé;Bac général;11.0;
2021/2022;Femme;cursus M;continue;Multi-domaine;Bac étranger;3.0;
2021/2022;Femme;cursus D;initiale;Sciences Humaines et Sociales;Bac étranger;2.0;
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;Bac techno;340.0;81.0
2021/2022;Homme;cursus L;initiale;Arts, Lettres et Langues;;3.0;3.0
2021/2022;Homme;cursus L;initiale;Sciences Humaines et Sociales;Bac techno;2.0;
2021/2022;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac pro;8.0;6.0
2021/2022;Homme;cursus L;initiale;Sciences, Technologies, Santé;Bac étranger;18.0;3.0
2021/2022;Homme;cursus L;initiale;;Bac techno;51.0;24.0
2021/2022;Homme;cursus L;initiale;;Bac pro;40.0;25.0
2021/2022;Homme;cursus L;initiale;;Equivalence;2.0;
2021/2022;Homme;cursus L;apprentis;Arts, Lettres et Langues;Bac général;49.0;
2021/2022;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac général;121.0;23.0
2021/2022;Homme;cursus L;apprentis;Sciences, Technologies, Santé;Bac techno;57.0;16.0
2021/2022;Homme;cursus L;apprentis;;Bac techno;133.0;
2021/2022;Homme;cursus L;apprentis;;Equivalence;3.0;
2021/2022;Homme;cursus L;continue;Sciences, Technologies, Santé;Bac pro;4.0;
2021/2022;Homme;cursus M;initiale;Sciences Humaines et Sociales;Bac général;42.0;
2021/2022;Homme;cursus M;initiale;Multi-domaine;Bac étranger;373.0;
2021/2022;Homme;cursus M;apprentis;Multi-domaine;Bac techno;51.0;
2021/2022;Homme;cursus M;apprentis;Multi-domaine;Equivalence;1.0;
2021/2022;Homme;cursus M;continue;Sciences Humaines et Sociales;Bac général;1.0;
2021/2022;Homme;cursus M;continue;Multi-domaine;Bac général;13.0;
2021/2022;Homme;cursus M;continue;Multi-domaine;Bac pro;1.0;
2021/2022;Homme;cursus M;continue;;Bac général;38.0;
2021/2022;Homme;cursus D;initiale;Domaine inconnu;Bac général;34.0;
2021/2022;Homme;cursus D;initiale;Domaine inconnu;Equivalence;40.0;
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;Bac général;1822.0;573.0
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;Equivalence;6.0;
2022/2023;Femme;cursus L;initiale;Arts, Lettres et Langues;;2.0;2.0
2022/2023;Femme;cursus L;initiale;Sciences, Technologies, Santé;Bac techno;150.0;84.0
2022/2023;Femme;cursus L;initiale;;Equivalence;1.0;
