Thème;Chiffres;variables
Recherche;19.0;laboratoires
Recherche;240.0;doctorants inscrits pour l'année 2021/2022
Personnel;591.0;enseignants et/ou chercheurs au 30 avril 2022
Personnel;394.0;personnel administratif au 30 avril 2022
Bâtiments;12.0;bâtiments
Vie du campus;45.0;disciplines sportives proposées
Etudiants;160.0;formations
Bibliothèque Universitaire;3.0;antennes
Etudiants;11337.0;étudiants pour l'année 2021/2022
Bibliothèque Universitaire;750.0;places de lecture
Bibliothèque Universitaire;246084.0;ouvrages
Recherche;9.0;écoles doctorales
Vie du campus;25.0;associations étudiantes
Etudiants;6.0;composantes (dont 1 IUT)
