Date;Maupertuis;BU;Pelvoux;Romero;Rostand;IBGBI;Premiers Cycles;Facteur Cheval;Ile-de-France;Brétigny
2015-01-05;1772.824253;387.484866;349.699697;0.168;0.168;488.036737;685.949745;5508.252055;14745.739726;5687.183562
2015-01-19;5081.334751;1109.920816;1001.609749;0.168;0.168;1398.094072;1965.636614;5508.252055;14745.739726;5687.183562
2015-01-26;6735.59;1471.138791;1327.564774;0.168;0.168;1853.12274;2605.480049;5508.252055;14745.739726;5687.183562
2015-02-02;8389.845249;1832.356767;1653.5198;0.168;0.168;2308.151407;3245.323484;5508.252055;14745.739726;5687.183562
2015-03-02;15006.866245;3277.228668;2957.339903;0.168;0.168;4128.266077;5804.697224;5508.252055;14745.739726;5687.183562
2015-03-16;18315.376743;3999.664618;3609.249955;0.168;0.168;5038.323412;7084.384093;5508.252055;14745.739726;5687.183562
2015-03-23;19845.871062;4333.856304;3910.816812;0.167;0.167;5459.307365;7676.357023;5475.46484;14657.967466;5653.331279
2015-05-25;34848.082477;7609.694263;6866.860005;0.168;0.168;9585.901583;13479.00985;5508.252055;14745.739726;5687.183562
2015-06-22;41465.103473;9054.566164;8170.680108;0.168;0.168;11406.016253;16038.38359;5508.252055;14745.739726;5687.183562
2015-06-29;43119.358722;9415.78414;8496.635134;0.168;0.168;11861.044921;16678.227025;5508.252055;14745.739726;5687.183562
2015-07-20;48082.124469;10499.438065;9474.500211;0.168;0.168;13226.130923;18597.757329;5508.252055;14745.739726;5687.183562
2015-07-27;49736.379718;10860.656041;9800.455237;0.168;0.168;13681.159591;19237.600764;5508.252055;14745.739726;5687.183562
2015-08-03;51390.634967;11221.874016;10126.410263;0.168;0.168;14136.188258;19877.444199;5508.252055;14745.739726;5687.183562
2015-08-17;54699.145466;11944.309966;10778.320315;0.168;0.168;15046.245593;21157.131069;5508.252055;14745.739726;5687.183562
2015-08-24;56353.400715;12305.527941;11104.275341;0.168;0.168;15501.274261;21796.974503;5508.252055;14745.739726;5687.183562
2015-09-21;62970.421711;13750.399842;12408.095444;0.168;0.168;17321.388931;24356.348243;5508.252055;14745.739726;5687.183562
2015-10-19;70006.60636;15286.801242;13794.509971;0.169;0.169;19256.803435;27077.850244;5541.039269;14833.511986;5721.035845
2015-11-23;77868.56571;17003.511727;15343.630885;0.168;0.168;21419.355442;30118.747749;5508.252055;14745.739726;5687.183562
2015-12-07;81177.076208;17725.947677;15995.540936;0.168;0.168;22329.412777;31398.434618;5508.252055;14745.739726;5687.183562
2015-12-14;82831.331457;18087.165652;16321.495962;0.168;0.168;22784.441444;32038.278053;5508.252055;14745.739726;5687.183562
2015-12-28;64697.913335;13772.263428;12431.469128;0.168;0.168;16950.340339;25218.699371;5585.884078;14734.587806;5633.843768
2016-01-04;37080.380204;7256.682622;6556.930329;0.168;0.168;8198.477869;14801.704077;5689.393443;14719.718579;5562.724044
2016-01-11;37779.065145;7393.413564;6680.476186;0.168;0.168;8352.954699;15080.602323;5689.393443;14719.718579;5562.724044
2016-04-04;46731.669317;19451.540401;9449.965568;0.168;0.168;11968.360134;21374.107676;5689.393443;14719.718579;5562.724044
2016-04-11;47574.294217;20655.35575;9254.458028;0.168;0.168;11898.911895;21420.9226;5689.393443;14719.718579;5562.724044
2016-04-18;45024.88387;15651.43542;7473.427783;0.168;0.168;11624.101379;18051.904462;5689.393443;14719.718579;5562.724044
2016-05-02;41107.019919;8718.088456;8512.832759;0.168;0.168;11325.005282;17973.966767;5689.393443;14719.718579;5562.724044
2016-05-09;39400.918144;7661.493518;9423.811004;0.168;0.168;15136.307595;17327.014157;5689.393443;14719.718579;5562.724044
2016-06-06;39788.64524;10726.108409;7413.645922;0.168;0.168;16184.848185;15120.174329;5689.393443;14719.718579;5562.724044
2016-06-27;37524.753127;9798.025349;7222.830563;0.168;0.168;16001.129899;14288.577382;5689.393443;14719.718579;5562.724044
2016-07-04;38395.750387;9342.726123;7048.090268;0.168;0.168;16053.791263;13100.332661;5689.393443;14719.718579;5562.724044
2016-08-08;32401.320265;4787.810559;4327.146663;0.168;0.168;12162.985629;10665.782253;5689.393443;14719.718579;5562.724044
2016-08-29;36074.002589;21165.556649;6894.55168;0.168;0.168;16596.339652;13224.300672;5689.393443;14719.718579;5562.724044
2016-09-19;38172.104407;10192.65298;8243.466815;0.168;0.168;15458.837147;16226.645495;5689.393443;14719.718579;5562.724044
2016-10-10;51446.181272;10632.390903;9935.171836;0.168;0.168;12343.806688;18984.802977;5689.393443;14719.718579;5562.724044
2016-10-31;47232.28764;9843.835025;9086.234651;0.168;0.168;12059.452364;16720.948325;5689.393443;14719.718579;5562.724044
2016-11-28;50938.213482;12856.170935;10788.540526;0.168;0.168;13124.353766;18820.645617;5689.393443;14719.718579;5562.724044
2016-12-05;52251.033332;14043.463328;11138.542469;0.168;0.168;12693.092984;19540.305204;5689.393443;14719.718579;5562.724044
2016-12-12;49523.013852;12752.224933;11243.508295;0.168;0.168;12956.825867;18894.050023;5689.393443;14719.718579;5562.724044
2017-01-02;53069.25;12749.416667;10117.916667;76.529727;9.711545;12577.083333;19452.778346;142.249081;361.080309;146.343811
2017-01-09;52514.333333;13285.166667;10926.083333;195.314636;24.557061;13632.583333;20340.116664;362.918568;921.95514;373.276496
2017-01-30;49109.5;12402.166667;11274.75;551.669364;69.093606;13453.5;19752.622875;1024.92703;2604.579635;1054.074552
2017-02-20;48221.416667;12347.0;10752.5;908.024091;113.630152;12964.916667;19163.803512;1686.935493;4287.20413;1734.872608
2017-02-27;54208.833333;10816.083333;10252.333333;1026.809;128.475667;12683.166667;18192.423889;1907.60498;4848.078962;1961.805293
2017-03-06;49049.833333;12400.916667;10377.583333;1145.593909;143.321182;12634.666667;18066.759604;2128.274468;5408.953793;2188.737978
2017-03-13;42944.416667;10678.083333;9931.0;1264.378818;158.166697;12360.5;16942.055413;2348.943955;5969.828625;2415.670664
2017-03-20;44406.75;9882.916667;9982.5;1374.579188;171.938457;12401.666667;17062.859265;2553.665279;6490.170888;2626.202192
2017-04-10;38621.083333;12042.583333;6918.416667;1738.811402;217.460391;10638.583333;12840.99881;3230.308396;8209.989411;3322.050615
2017-04-17;44179.583333;11568.833333;8480.083333;1857.596311;232.305907;11929.833333;15946.638739;3450.977883;8770.864242;3548.9833
2017-04-24;44611.75;11711.083333;9690.666667;1976.38122;247.151422;12609.916667;16904.144036;3671.647371;9331.739074;3775.915986
2017-06-19;40026.583333;22381.333333;6502.916667;2926.660492;365.915543;16680.666667;13380.683614;5437.00327;13818.737727;5591.377468
2017-07-24;33270.333333;6596.583333;4904.5;3520.585038;440.143119;14845.083333;8516.539033;6540.350708;16623.111885;6726.040894
2017-07-31;32602.75;4173.0;5137.583333;3639.369947;454.988634;14532.5;8211.215471;6761.020195;17183.986717;6952.97358
2017-08-28;36118.083333;14614.833333;5857.5;4114.509583;514.370694;15685.833333;11086.64762;7643.698145;19427.486044;7860.704321
2017-09-04;36501.0;16263.583333;7746.333333;4233.294492;529.21621;16057.0;13177.517515;7864.367632;19988.360875;8087.637006
2017-10-09;42022.666667;9249.5;9221.916667;4827.219038;603.443785;16654.083333;13236.37294;8967.715069;22792.735033;9222.300433
2017-10-16;44532.666667;9200.5;9272.583333;4946.003947;618.289301;17205.333333;17380.112981;9188.384557;23353.609865;9449.233118
2017-10-23;45202.666667;9700.166667;10473.833333;5095.29204;636.947921;17896.666667;17248.439433;9465.720982;24058.512026;9734.441443
2017-11-06;53641.0;11111.583333;9846.416667;5303.065727;662.914212;14555.583333;19037.432255;9851.706528;25039.572901;10131.381964
2017-11-27;57869.75;13483.333333;10423.666667;5659.420455;707.450758;13082.166667;19687.139587;10513.71499;26722.197396;10812.18002
2017-12-04;58968.5;14251.0;11270.666667;5778.205364;722.296273;13466.916667;21542.322668;10734.384478;27283.072227;11039.112705
2017-12-25;35399.083333;9051.083333;4777.666667;6134.560091;766.832818;10748.25;14597.470916;11396.39294;28965.696722;11719.910761
2018-01-01;37126.25;11507.75;4800.583333;6253.345;781.678333;4650.222277;13838.734861;5129.755611;10425.573747;4538.138971
2018-01-29;54425.083333;14102.166667;9808.333333;8537.924515;839.21997;14707.830052;20432.683805;6653.85618;11217.733705;5838.308425
2018-02-12;54140.5;14344.916667;9777.0;11315.833333;889.666667;13763.602977;22604.622153;8213.639708;11613.813684;7499.987287
2018-02-19;49371.333333;14498.0;9264.916667;10466.166667;900.416667;13109.490807;20415.032571;7722.557673;11811.853674;7427.761539
2018-03-05;47039.583333;13938.916667;9539.583333;9968.083333;907.166667;14888.693377;20603.340286;7688.377611;12207.933653;7225.857745
2018-04-09;41061.666667;13501.25;8431.666667;10558.25;901.083333;17782.331916;17351.581417;6087.383525;17839.169506;7049.008337
2015-01-12;3427.079502;748.702841;675.654723;0.168;0.168;943.065405;1325.79318;5508.252055;14745.739726;5687.183562
2018-05-21;37106.916667;12854.083333;6680.5;7920.583333;888.416667;17090.841907;13458.522259;5326.449903;15083.936213;5764.495879
2015-03-30;21614.040484;4719.950462;4259.219798;0.168;0.168;5945.672243;8360.262371;5508.252055;14745.739726;5687.183562
2018-05-28;37851.25;13794.25;7527.25;8623.0;893.416667;17136.428897;12940.613299;5385.410509;15713.283964;5531.749271
2015-04-20;26576.806231;5803.604387;5237.084876;0.168;0.168;7310.758246;10279.792676;5508.252055;14745.739726;5687.183562
2018-06-11;37001.916667;8597.333333;6588.5;8372.083333;873.333333;17062.109877;10792.767631;6128.485049;16690.051993;6059.792057
2015-05-04;29885.316729;6526.040338;5888.994927;0.168;0.168;8220.815581;11559.479546;5508.252055;14745.739726;5687.183562
2018-06-18;37586.333333;16776.333333;6546.5;8498.166667;896.5;17231.445458;12334.699135;5395.322727;15948.767787;5559.049913
2015-06-01;36502.337726;7970.912239;7192.815031;0.168;0.168;10040.930251;14118.853285;5508.252055;14745.739726;5687.183562
2018-07-09;36595.5;18562.75;6151.416667;6783.25;884.916667;15216.098788;10099.433847;4644.130423;14307.002877;4171.209711
2015-06-08;38156.592975;8332.130214;7518.770057;0.168;0.168;10495.958918;14758.69672;5508.252055;14745.739726;5687.183562
2018-08-13;34013.5;2315.166667;5441.583333;4746.5;927.416667;13344.499599;9150.700927;5094.281834;11972.211618;2906.654367
2015-06-15;39810.848224;8693.348189;7844.725082;0.168;0.168;10950.987586;15398.540155;5508.252055;14745.739726;5687.183562
2018-09-03;34797.833333;10562.25;7059.583333;8326.833333;901.833333;13992.236577;13621.231502;5438.047804;14716.106128;5475.160916
2015-08-31;58007.655964;12666.745917;11430.230366;0.168;0.168;15956.302928;22436.817938;5508.252055;14745.739726;5687.183562
2018-09-17;36765.5;11716.416667;8393.75;8947.0;905.833333;14118.692441;14988.240113;5862.136919;15706.662116;6033.787332
2015-09-14;61316.166462;13389.181867;12082.140418;0.168;0.168;16866.360263;23716.504808;5508.252055;14745.739726;5687.183562
2018-09-24;35849.75;12528.0;8255.583333;8974.75;869.0;14075.201405;15329.804041;6331.258265;16184.070189;6789.997821
