Indicateurs;Note maximale initiale ;score initial de l'EP
égalité de rémunération pour les non titulaires;40.0;38.0
Nb EQTP fonctionnaires  (1);661.0;
dix plus haute rémunération  avec personnalisation de la pondération;20.0;8.0
dix plus haute rémunération;20.0;8.0
Total score égalité de rémunération;100.0;86.0
NB EQTP contractuels (2);111.0;
Correctif sur la pondération  (1)/(1+2);0.8562176165803109;
égalité de rémunération pour les fonctionnaires avec personnalisation de la pondération;68.0;68.0
égalité de rémunération pour les contractuels avec personnalisation de la pondération;12.0;11.4
égalité de rémunération pour les fonctionnaires;40.0;40.0
Total score égalité de rémunération avec personnalisation de la pondération;100.0;87.4
