liste des corps;Catégorie;Titulaire ou contractuel;rémunération mensuelle moyenne (par EQTP) Homme;rémunération mensuelle moyenne (par EQTP) Femme;écarts rémunération F-H;effectifs physiques Hommes;effectifs physiques Femmes;ETPT hommes;ETPT femmes;Taux moyen de temps partiel hommes;Taux moyen de temps partiel femmes;Indicateur mixité salaire;Indicateur mixité emploi;Indicateur qualité TIB;effet démographique du corps;effet primes à C-G-E identique lié à  sur-rémunération temps partiel (80% ou 90%);effet primes à C-G-E identique lié à  temps ou aux cycles de travail;effet primes à C-G-E identique lié à  géographie et aux mobilités non forcées;effet primes à C-G-E identique lié à  résultats / performance / engagement professionnel;effet primes à C-G-E identique lié à  rémunérations accessoires;effet primes à C-G-E identique lié à  fonctions / sujétions indexées sur le traitement;effet primes à C-G-E identique lié à  fonctions / sujétions non indexées sur le traitement;effet primes à C-G-E identique lié à  restructurations ou mobilités forcées;effet primes à C-G-E identique lié à  autres primes et écarts résiduels sur traitement;effet primes/H à C-G-E identique lié à  sur-rémunération temps partiel (80% ou 90%);effet primes/H à C-G-E identique lié à  temps ou aux cycles de travail;effet primes/H à C-G-E identique lié à  géographie et aux mobilités non forcées;effet primes/H à C-G-E identique lié à  résultats / performance / engagement professionnel;effet primes/H à C-G-E identique lié à  rémunérations accessoires;effet primes/H à C-G-E identique lié à  fonctions / sujétions indexées sur le traitement;effet primes/H à C-G-E identique lié à  fonctions / sujétions non indexées sur le traitement;effet primes/H à C-G-E identique lié à  restructurations ou mobilités forcées;effet primes/H à C-G-E identique lié à  autres primes et écarts résiduels sur traitement
050088 - Agent contractuel catégorie A;A;Contractuel;3906.677185523117;3835.3883259254294;-0.0182479524701608;26;41;24;40;0.9522292993630573;0.9876767676767677;0.32277470916368806;0.3289757583449676;30.161670279520628;-299.8249744564457;-3.9015467537044723;276.9288117659448;4.301720825164481;-0.5109329125099665;0.37168141440254726;0.0;-107.47356167487332;0.0;58.81994219433433;-0.0009986867530704466;0.07088602375239844;0.0011011201133037734;-0.00013078452307329583;9.514003762068657e-05;0.0;-0.027510223284671592;0.0;0.015056258656922571
050082 - Agent contractuel catégorie B;B;Contractuel;4087.7957142857144;3915.7856701030923;-0.04207892375382033;2;16;2;16;1.0;1.0;0.765105555253203;0.7641921397379913;66.50379420380187;-736.5305674494655;0.0;482.7068628557278;0.11682088944659062;23.943667335942962;2.239223571035568;0.0;110.92499205061368;0.0;-55.41104343592324;0.0;0.1180848791364013;2.8577966613726304e-05;0.005857354185353851;0.0005477826504906058;0.0;0.027135649578319567;0.0;-0.013555237910318508
0520 - Professeurs des universités;A;Fonctionnaire;3969.744328571429;4198.71891089109;0.057679931846407025;58;25;58;25;0.9915014164305949;1.0;0.9508398112574185;0.9511465603190429;100.52199198970945;75.88716171724295;0.0;52.453855716998724;8.022287676257614;2.222582728985977;1.4302166517870305;0.0;-53.07891168589763;0.0;142.0373895142862;0.0;0.013213409070068504;0.0020208575193416934;0.000559880572909794;0.00036027928587071374;0.0;-0.01337086403874248;0.0;0.035779984240295
1615 - Adjoint technique de recherche de l'éducation nationale;C;Fonctionnaire;3997.342218626781;3680.4228107067192;-0.07928253088846965;31;47;31;45;0.9936507936507937;0.969858156028369;0.5779540419047099;0.5777151528289616;72.24011820674428;-384.51684446134635;22.457401880356816;20.653391808423244;-2.6112120522200333;3.4348723514884747;0.5954292830673116;0.0;1.0333884288660595;0.0;22.03416484130294;0.005618083379428963;0.005166780995678265;-0.0006532370533731963;0.0008592890384722844;0.00014895629408278715;0.0;0.00025851887888174424;0.0;0.00551220376845103
050083 - Agent contractuel catégorie C;C;Contractuel;3915.7818944844116;4015.884112554112;0.025563787965489044;7;19;6;19;0.9586206896551724;1.0;0.7860160448340955;0.7856234096692113;24.9339348918344;23.222434536212717;0.0;135.07243027120654;0.6562539338218945;-0.29447138438261994;0.0;0.0;-97.05165242964684;0.0;38.49722314248881;0.0;0.03449437019499561;0.00016759205479402806;-7.520117113708469e-05;0.0;0.0;-0.02478474415706076;0.0;0.009831299132547246
0525 - Maîtres de conférences;A;Fonctionnaire;3729.849379844961;3693.559536832639;-0.009729573319614939;108;82;107;81;0.9953703703703703;0.993016194331984;0.9953786908758513;0.9947162168112369;80.03906035423502;10.830402497764666;3.5076981269828735;-67.85569842323068;-0.08540848339600052;4.881084858979383;2.2196231622956786;0.0;-10.956291686881125;0.0;21.168746935163345;0.0009404396182691641;-0.018192610883941713;-2.2898641392203e-05;0.0013086546833111733;0.0005950972643265133;0.0;-0.002937462232680438;0.0;0.005675496455581611
1658 - Technicien de recherche et de formation de l'éducation nationale;B;Fonctionnaire;3684.942902481715;3645.7507285688025;-0.010635761516553639;20;35;19;35;0.9674999999999999;0.9920187793427229;0.8261761981247061;0.8350641417226634;110.3713671844553;181.71132980729732;-0.33399213305546965;10.316442809893713;-7.1360370693005875;5.236878776209055;0.07956037350675994;0.0;-55.92968065477086;0.0;-173.1366758226924;-9.063699001429153e-05;0.0027996208036075274;-0.0019365393869453576;0.0014211560164696583;2.1590666561801558e-05;0.0;-0.015177896139748502;0.0;-0.046984900554656976
0557 - Professeurs certifiés et assimilés;A;Fonctionnaire;3514.81563002681;3532.883232982937;0.005140412715186723;31;18;31;18;1.0;0.9894273127753302;0.8645151811455751;0.8611111111111109;98.72511887632575;-5.23553715556567;6.762026371664926;-21.032789221536817;0.5521458970472802;6.680058398157164;-0.2323980794276155;0.0;30.858735180623153;0.0;-0.28463843483557383;0.0019238637480434066;-0.005984037695136909;0.00015709099855205452;0.0019005430444458931;-6.611956469131863e-05;0.0;0.008779617035101148;0.0;-8.098246531167345e-05
0608 - Magasiniers des bibliothèques;C;Fonctionnaire;3063.4738461538464;4407.152220883939;0.43861264767024666;2;6;2;5;1.0;0.9027777777777778;0.452471887196383;0.46153846153846156;92.04949042498905;817.5057745331719;50.00791208791208;203.75937531935858;15.436138681896065;9.056026277967314;0.0;0.0;14.871275382230813;0.0;233.0418724475556;0.016323923297303942;0.06651252321777644;0.005038769533246039;0.0029561297836235957;0.0;0.0;0.004854383007350142;0.0;0.07607111539082888
0513 - Ingénieurs d'études de l'éducation nationale;A;Fonctionnaire;4004.5360560344834;4238.451376989427;0.058412589543913394;38;26;38;25;1.0;0.9652173913043479;0.7158168867240686;0.7096024780588539;113.13772702893611;41.024322310818945;12.19054117131363;57.69662907135232;5.710618601809505;-3.996970589402848;-0.44944820550615444;0.0;38.42136552969776;0.0;83.3182630648609;0.003044183146495474;0.014407818599712338;0.0014260375039460826;-0.0009981107757488573;-0.00011223477556878919;0.0;0.009594461129098874;0.0;0.02080597150306778
