Date;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2023-02-22;7060.520833;1684.166667;1630.5;1284.1875;97.708333;2352.395833;2477.854167;865.708333;2044.229167;810.0625
2023-02-23;7168.083333;1675.5;1483.854167;1259.9375;96.791667;2385.208333;2345.729167;747.583333;1986.8125;774.229167
2023-02-25;6139.125;1293.958333;1003.625;1101.354167;108.0;1804.125;1707.541667;513.770833;1822.083333;523.0625
2023-02-26;6308.729167;1110.020833;1004.083333;1166.4375;101.708333;1679.354167;1914.520833;505.5625;1844.291667;503.875
2023-02-28;7309.770833;1786.083333;1321.270833;1203.770833;100.041667;2330.125;2565.75;629.645833;2009.3125;669.791667
2023-03-02;7266.041667;1776.479167;1254.208333;1138.479167;98.125;2293.229167;2474.729167;669.0;1968.979167;603.6875
2023-03-03;7113.916667;1691.666667;1267.8125;1115.520833;96.208333;2260.916667;2389.208333;643.3125;1967.0625;572.916667
2023-03-04;6145.4375;1463.583333;978.708333;1048.25;110.25;1765.458333;1905.25;552.25;1872.958333;528.479167
2023-03-05;6112.979167;1052.958333;960.5625;1041.229167;103.916667;1629.479167;1852.125;520.270833;1874.395833;513.270833
2023-03-08;7109.166667;1857.625;1559.25;1307.208333;114.916667;2053.208333;2736.333333;657.083333;2147.125;882.666667
2023-03-10;7309.75;1835.416667;1548.916667;1371.833333;135.083333;2134.333333;2894.25;693.25;2136.5;916.583333
2023-03-11;6307.583333;1515.916667;986.75;1044.166667;133.25;1685.75;1648.333333;506.666667;1882.416667;568.5
2023-03-12;6180.583333;1038.666667;993.333333;958.916667;113.0;1486.25;1672.083333;497.583333;1813.083333;552.083333
2023-03-16;6935.833333;1752.25;1429.666667;1187.416667;114.75;2035.25;2869.916667;708.25;2113.416667;866.75
2023-03-20;6685.916667;1849.416667;1476.583333;1277.833333;111.166667;2124.5;2807.083333;721.416667;2067.583333;868.583333
2023-03-21;6533.0;1818.166667;1521.083333;1251.0;123.833333;2092.416667;2857.916667;720.833333;2058.75;828.666667
2023-03-22;6609.333333;1805.958333;1530.666667;1258.875;105.666667;2063.791667;2832.291667;709.916667;2088.0;836.0
2023-03-23;6557.375;1708.208333;1388.791667;1089.458333;108.041667;1991.083333;2614.625;646.333333;2029.416667;739.791667
2023-03-24;6248.875;1757.541667;1453.916667;1154.541667;111.583333;2034.458333;2594.416667;682.166667;2044.916667;764.5
2023-03-28;6919.454152;1755.416811;1519.207901;1298.625144;119.916234;2080.667243;2773.542532;659.833189;2080.791667;834.124567
2023-03-30;6288.625;1747.333333;1510.75;1139.458333;99.833333;1967.25;2791.833333;651.208333;2132.875;838.625
2023-04-04;6663.291667;1786.083333;1532.166667;1275.958333;118.083333;2139.875;2834.458333;706.541667;2178.041667;840.416667
2023-04-07;6411.583333;1739.916667;1420.375;1146.166667;88.75;2147.916667;2834.5;643.0;2072.125;882.041667
2023-04-09;5476.458333;993.125;912.291667;835.708333;82.291667;1621.541667;1310.916667;570.958333;1814.541667;446.791667
2023-04-10;5735.75;974.083333;915.416667;840.0;87.041667;1906.916667;1576.916667;584.958333;1786.375;542.541667
2023-04-14;6390.75;1853.208333;1450.583333;1255.125;98.958333;2295.375;2793.958333;684.791667;2069.333333;876.75
2023-04-15;5519.041667;1362.083333;953.75;910.625;110.541667;1692.75;1513.541667;502.875;1871.583333;534.083333
2023-04-17;6394.541667;1793.333333;1458.75;1262.708333;79.375;2196.041667;2747.083333;732.25;2149.666667;881.583333
2023-04-21;5760.708333;1641.041667;1234.458333;1155.541667;86.25;2139.916667;2535.5;685.333333;2020.166667;774.5
2023-04-22;4853.041667;1426.666667;892.458333;912.666667;101.5;1660.666667;1473.916667;524.875;1719.625;522.25
2023-04-23;4815.666667;983.875;881.541667;908.041667;91.166667;1591.75;1478.0;521.208333;1717.666667;496.208333
2023-04-26;5723.916667;1764.958333;1215.5;1127.125;91.875;2114.291667;2350.166667;592.416667;1905.458333;641.375
2023-04-27;5035.125;1350.125;1000.25;917.791667;89.5;1845.291667;2200.708333;626.833333;1716.041667;587.125
2023-04-28;4989.083333;1134.333333;992.041667;766.041667;83.666667;2060.416667;2185.541667;553.375;1762.791667;587.291667
2023-04-29;4402.625;773.833333;744.458333;608.875;89.458333;1689.166667;1151.375;393.0;1586.291667;421.291667
2023-05-01;4510.583333;417.041667;754.208333;605.333333;87.416667;1862.458333;1367.958333;399.791667;1643.625;460.625
2023-05-03;4970.75;1380.375;1084.833333;610.333333;76.291667;1871.958333;1925.75;489.083333;1772.625;526.458333
2023-05-06;4401.541667;808.916667;781.5;553.375;93.75;1468.041667;1272.416667;384.833333;1604.041667;429.666667
2023-05-07;4384.916667;408.958333;776.791667;539.333333;80.541667;1387.583333;1298.291667;377.75;1597.333333;430.5
2023-05-10;5393.75;1479.375;1316.375;1139.166667;71.375;1947.583333;2491.416667;582.25;1867.125;863.791667
2023-05-11;5279.166667;1443.125;1243.041667;1035.166667;69.291667;1987.416667;2547.375;568.75;1849.916667;851.083333
2023-05-13;4532.041667;1099.916667;823.708333;694.5;76.208333;1512.416667;1304.916667;376.75;1618.0;473.0
2023-05-15;5165.75;1463.541667;1374.791667;1109.708333;71.75;2004.291667;2354.875;633.291667;1876.0;836.583333
2023-05-18;4602.166667;657.916667;829.333333;678.666667;71.958333;1796.5;1576.041667;425.375;1646.166667;465.833333
2023-05-21;4401.958333;653.791667;827.041667;635.041667;71.625;1404.833333;1237.375;374.208333;1630.083333;350.0
2023-05-22;4948.375;1382.541667;1242.791667;1084.791667;72.458333;1936.0;2365.833333;527.875;1819.958333;720.125
2023-05-24;5038.916667;1629.625;1197.333333;1006.291667;72.666667;1970.5;2263.458333;517.0;1834.375;759.25
2023-05-27;4232.291667;1402.291667;871.5;659.666667;71.291667;1487.083333;1257.541667;360.958333;1604.458333;443.708333
2023-05-31;4784.208333;1808.125;1197.458333;940.041667;66.875;1968.916667;2114.541667;506.333333;1781.625;658.416667
2023-06-01;4783.416667;1779.791667;1192.583333;924.416667;68.916667;2033.291667;2153.0;512.958333;1823.5;642.5
2023-06-07;5124.416667;1840.041667;1198.458333;986.791667;73.083333;1855.041667;2079.208333;493.208333;1782.375;721.833333
2023-06-12;5012.666667;1885.208333;1249.833333;1020.541667;70.666667;1987.791667;2269.833333;485.625;1771.875;782.708333
2023-06-14;5090.708333;1894.333333;1178.041667;932.958333;69.333333;2032.875;2086.5;425.791667;1778.708333;760.875
2023-06-15;5221.375;2042.625;1197.333333;1002.375;71.0;2048.75;2116.416667;486.958333;1786.333333;679.833333
2023-06-16;5152.083333;1697.541667;1170.25;1040.625;73.25;2065.5;2084.125;439.083333;1691.625;793.5
2023-02-17;7319.0625;1668.104167;1783.1875;1196.166667;96.291667;2310.8125;2864.479167;766.645833;1963.041667;899.916667
2023-06-17;4265.458333;1582.375;935.666667;789.416667;71.875;1589.833333;1301.166667;314.416667;1567.916667;496.0
2023-02-19;6085.9375;1033.458333;944.083333;924.6875;94.583333;1458.541667;1578.9375;514.479167;1796.604167;502.020833
2023-06-18;4134.583333;1087.708333;930.041667;774.333333;72.708333;1492.416667;1320.791667;319.25;1557.458333;490.458333
2023-02-20;7062.4375;1700.833333;1518.583333;1241.708333;93.583333;2253.020833;2369.1875;721.083333;2090.270833;804.729167
2023-06-20;4973.583333;2224.208333;1240.833333;1035.75;69.5;2014.125;2516.625;406.791667;1798.916667;725.833333
2023-02-24;6902.041667;1565.166667;1521.5625;1256.229167;94.666667;2407.041667;2344.958333;718.229167;1982.020833;735.020833
2023-06-28;4785.833333;1956.25;1163.5;792.166667;70.166667;1946.125;2488.666667;361.541667;1858.5;671.625
2023-03-06;7827.395833;1909.541667;1682.333333;1595.979167;110.75;2228.666667;3116.645833;779.0;2164.770833;904.375
2023-07-01;3722.833333;1072.208333;861.416667;586.291667;69.666667;1481.125;1352.0;380.708333;1626.291667;413.083333
2023-03-07;7724.854167;1802.583333;1430.729167;1327.104167;122.041667;2013.666667;2586.729167;611.625;2078.708333;777.770833
2023-07-05;4309.0;1279.0;1070.833333;677.5;72.25;1674.208333;2175.291667;436.291667;1739.458333;542.416667
2023-03-15;7057.583333;1829.833333;1531.75;1133.916667;112.333333;2035.5;2819.916667;637.416667;2139.333333;789.0
2023-07-07;4657.791667;1402.416667;1059.25;715.916667;70.875;1868.416667;2086.375;383.583333;1784.791667;542.041667
2023-03-17;6659.916667;1771.666667;1470.833333;1125.583333;111.666667;2041.416667;2803.25;677.25;1985.0;810.666667
2023-07-09;3994.416667;850.291667;874.458333;569.75;72.416667;1103.625;1293.916667;355.916667;1620.75;397.0
2023-03-26;5315.208333;971.625;872.833333;856.333333;102.208333;1388.416667;1393.375;481.833333;1768.833333;455.791667
