Année universitaire;Cursus L;Cursus M;Cursus D;Nombre d'etudiants;Nombre neobacheliers;Nombre de neorentrants
2010/2011;7391.0;2169.0;244.0;9804.0;2085.0;4834.0
2012/2013;7391.0;2074.0;265.0;9730.0;2085.0;4601.0
2013/2014;6977.0;2306.0;267.0;9550.0;2061.0;4703.0
2015/2016;7519.0;3012.0;304.0;10835.0;2208.0;5399.0
2017/2018;8185.0;3129.0;252.0;11566.0;2386.0;5804.0
2020/2021;8661.0;2966.0;237.0;11864.0;2415.0;5410.0
2009/2010;7306.0;1957.0;249.0;9512.0;2003.0;4603.0
2011/2012;7666.0;2045.0;253.0;9964.0;2105.0;4860.0
2014/2015;7210.0;2787.0;259.0;10256.0;2092.0;5238.0
2018/2019;8543.0;3045.0;254.0;11842.0;2557.0;5722.0
2008/2009;6895.0;1941.0;240.0;9076.0;1711.0;3903.0
2016/2017;7692.0;2974.0;273.0;10939.0;2099.0;5250.0
2019/2020;8691.0;2922.0;241.0;11854.0;2405.0;5417.0
2021/2022;8363.0;2795.0;224.0;11382.0;2110.0;5177.0
