Thématique;Date;Nom;Objectifs;Localisation
Transversal;2019-04-01;Réaménagement BX35;"Achat de mobilier et 
travaux de peinture";40 rue de pelvoux, 91000 evry-courcouronnes
Transversal;2019-04-01;"Baby-foot 
Facteur Cheval";Achat d'un baby-foot;Rue du facteur Cheval,  91000 evry-courcouronnes
Transversal;2019-04-01;Street workout IBGBI;Achat et installations de structures de streetworkout;23 Boulevard de France, 91000 evry-courcouronnes
Transversal;2019-04-01;Journée sensibilisation au handicap;"Organisation de concerts, 
expo, ateliers";23 boulevard Francois Mitterrand, 91000 evry-courcouronnes
Transversal;2019-11-01;Epicerie solidaire;Aménagement d'un local et achat de matériel;
Transversal;2019-11-01;Installations bancs;Installation bancs;
Transversal;2019-11-01;"Formation des 
associations";Création d'un catalogue de formations destinées aux associations étudiantes;
Transversal;2019-06-01;Aménagement IUT Juvisy;Création d'un espace convivial;
Transversal;2019-06-01;Remorque food;Aquisition d'une remorque food;
Culture;2019-04-01;"Etre humain, 
vivre ensemble";"Exposition sur le thème des inégalités 
à la BU";
Culture;2019-12-12;"Nocturnes de l'histoire  : 
à la lumière d'une vie";Conférence et table ronde;
Culture;2019-12-12;Journée Hommage à Amadou Hampaté Ba;Débat et table-ronde , exposition, animation musicale;
Sport;2019-04-01;Escalade;Entrées salle escalade;
Sport;2019-04-01;Tournoi des lumières;Tournoi de filière sur 5 activités sportives;
Transversal;2020-11-01;Aménagement du local de l'épicerie solidaire;Achat de matériel de cuisine pour équiper l'épicerie solidaire.;
Culture;2020-11-01;Ciné-concert Keaton Chaplin;Projection de deux grands classiques du film muet sous la forme de ciné-concert;
Transversal;2019-04-01;Pack association;"Achat de matériel 
audiovisuel";
Transversal;2019-04-01;Street workout BU;Achat et installations de structures de streetworkout;Rue du Père André Jarlan, 91000 evry-courcouronnes
Transversal;2019-11-01;Bien vivre en GTE;Aménagement d'un espace de convivialité;
Transversal;2019-11-01;Range vélos;Installation de range vélos;
Culture;2019-04-01;Exposition photo;Exposition photo sur la vie de campus à l'occasion de l'inauguration de la galerie Cesaria Evora;
Culture;2019-04-01;"Chanter au cœur
 de l'Université";Organisation d'un chœur d'étudiants et personnels de l'Université;
Culture;2019-04-01;Nos météores;Exposition;
Culture;2019-04-01;Akousmaflore;Exposition d'une production de Scenoscome;
Culture;2019-12-12;Concert des Chœurs;Organisation d'un concert en Grèce;
Culture;2019-12-12;Wanderlust : l'art total de Bjork;Concert autour d'œuvres de Bjork, exposition BU et projection film;
