Domaine;Etape;Année de l'inscription;Taux de réussite
ARTS, LETTRES ET LANGUES;L2;2022;70.25316455696202
ARTS, LETTRES ET LANGUES;L3;2021;77.62237762237763
ARTS, LETTRES ET LANGUES;L3;2022;65.35433070866141
ARTS, LETTRES ET LANGUES;MASTER1;2022;
DROIT, ECONOMIE, GESTION;BUT2;2022;
DROIT, ECONOMIE, GESTION;DU;2022;47.701149425287355
DROIT, ECONOMIE, GESTION;L1;2021;32.788296041308094
DROIT, ECONOMIE, GESTION;L1;2022;30.74074074074074
DROIT, ECONOMIE, GESTION;L2;2021;53.785488958990534
DROIT, ECONOMIE, GESTION;L2;2022;61.038961038961034
DROIT, ECONOMIE, GESTION;L3;2021;81.07569721115537
Hors Domaine LMD;DU;2021;72.51908396946564
SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES;MASTER1;2021;91.8918918918919
SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES;MASTER1;2022;
SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES;MASTER2;2022;
SCIENCES HUMAINES ET SOCIALES;L1;2022;32.59803921568628
SCIENCES HUMAINES ET SOCIALES;Mast. MEEF2;2021;82.24852071005917
SCIENCES HUMAINES ET SOCIALES;Mast. MEEF2;2022;88.40579710144928
SCIENCES HUMAINES ET SOCIALES;MASTER1;2021;72.5
SCIENCES HUMAINES ET SOCIALES;MASTER1;2022;
SCIENCES HUMAINES ET SOCIALES;MASTER2;2021;60.71428571428571
SCIENCES, TECHNOLOGIES, SANTE;BUT1;2021;61.53846153846154
SCIENCES, TECHNOLOGIES, SANTE;DEUST1;2022;46.808510638297875
SCIENCES, TECHNOLOGIES, SANTE;DEUST2;2021;50.0
SCIENCES, TECHNOLOGIES, SANTE;DU;2022;
ARTS, LETTRES ET LANGUES;L1;2021;46.1794019933555
SCIENCES, TECHNOLOGIES, SANTE;L1;2022;43.213058419243985
ARTS, LETTRES ET LANGUES;L2;2021;64.40677966101694
SCIENCES, TECHNOLOGIES, SANTE;L3;2021;71.01669195751138
ARTS, LETTRES ET LANGUES;MASTER1;2021;84.61538461538461
SCIENCES, TECHNOLOGIES, SANTE;L3;2022;70.88846880907373
ARTS, LETTRES ET LANGUES;MASTER2;2021;83.78378378378379
SCIENCES, TECHNOLOGIES, SANTE;Licence pro;2022;
DROIT, ECONOMIE, GESTION;BUT1;2021;83.07291666666666
SCIENCES, TECHNOLOGIES, SANTE;MASTER1;2022;
DROIT, ECONOMIE, GESTION;BUT2;2021;90.67796610169492
DROIT, ECONOMIE, GESTION;Licence pro;2021;91.69675090252709
DROIT, ECONOMIE, GESTION;Licence pro;2022;
DROIT, ECONOMIE, GESTION;MASTER1;2021;79.8342541436464
DROIT, ECONOMIE, GESTION;MASTER2;2021;91.95402298850574
Hors Domaine LMD;DAEU;2022;52.0
SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES;MASTER2;2021;89.28571428571429
SCIENCES HUMAINES ET SOCIALES;L1;2021;28.901734104046245
SCIENCES HUMAINES ET SOCIALES;Licence pro;2021;94.0
SCIENCES HUMAINES ET SOCIALES;Mast. MEEF1;2021;90.84507042253522
SCIENCES HUMAINES ET SOCIALES;Mast. MEEF1;2022;84.29752066115702
SCIENCES, TECHNOLOGIES, SANTE;BUT2;2021;81.14035087719299
SCIENCES, TECHNOLOGIES, SANTE;BUT2;2022;
SCIENCES, TECHNOLOGIES, SANTE;DU;2021;73.60406091370558
SCIENCES, TECHNOLOGIES, SANTE;L2;2021;59.01639344262295
SCIENCES, TECHNOLOGIES, SANTE;L2;2022;60.76555023923444
SCIENCES, TECHNOLOGIES, SANTE;Mast. MEEF1;2021;44.73684210526316
SCIENCES, TECHNOLOGIES, SANTE;Mast. MEEF1;2022;80.95238095238095
SCIENCES, TECHNOLOGIES, SANTE;Mast. MEEF2;2022;63.1578947368421
SCIENCES, TECHNOLOGIES, SANTE;MASTER2;2021;86.3036303630363
ARTS, LETTRES ET LANGUES;L1;2022;35.670731707317074
ARTS, LETTRES ET LANGUES;MASTER2;2022;
DROIT, ECONOMIE, GESTION;BUT1;2022;
DROIT, ECONOMIE, GESTION;DU;2021;47.8494623655914
DROIT, ECONOMIE, GESTION;L3;2022;73.21428571428571
DROIT, ECONOMIE, GESTION;MASTER1;2022;
DROIT, ECONOMIE, GESTION;MASTER2;2022;
Hors Domaine LMD;DAEU;2021;61.53846153846154
Hors Domaine LMD;DU;2022;
Hors Domaine LMD;DU Enseignement;2021;79.14110429447852
SCIENCES HUMAINES ET SOCIALES;DU;2022;90.0
SCIENCES HUMAINES ET SOCIALES;L2;2021;74.35897435897436
SCIENCES HUMAINES ET SOCIALES;L2;2022;71.09375
SCIENCES HUMAINES ET SOCIALES;L3;2021;83.05084745762711
SCIENCES HUMAINES ET SOCIALES;L3;2022;84.61538461538461
SCIENCES HUMAINES ET SOCIALES;Licence pro;2022;
SCIENCES HUMAINES ET SOCIALES;MASTER2;2022;
SCIENCES, TECHNOLOGIES, SANTE;BUT1;2022;
SCIENCES, TECHNOLOGIES, SANTE;DEUST1;2021;57.8125
SCIENCES, TECHNOLOGIES, SANTE;DEUST2;2022;54.166666666666664
SCIENCES, TECHNOLOGIES, SANTE;L1;2021;44.483058210251954
SCIENCES, TECHNOLOGIES, SANTE;Licence pro;2021;90.52132701421802
SCIENCES, TECHNOLOGIES, SANTE;Mast. MEEF2;2021;78.43137254901961
SCIENCES, TECHNOLOGIES, SANTE;MASTER1;2021;82.58928571428571
SCIENCES, TECHNOLOGIES, SANTE;MASTER2;2022;
